Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,B,1,0,30,14,1,3.00,2.00,1,-1.00,1,62.00,-63604535899699
0,s,B,1,1,30,14,1,9.00,2.00,1,-1.00,0,94.00,-63604535902525
0,s,B,1,2,30,14,1,15.00,2.00,1,-1.00,0,105.00,-63604535904072
0,s,B,1,3,30,14,1,3.00,2.00,1,-1.00,0,66.00,-63604535905912
0,s,B,1,4,30,14,1,9.00,2.00,1,-1.00,0,104.00,-63604535907245
0,s,B,1,5,30,14,1,15.00,2.00,1,-1.00,0,100.00,-63604535908592
0,s,B,1,6,30,14,1,3.00,2.00,1,-1.00,0,57.00,-63604535910459
0,s,B,1,7,30,14,1,9.00,2.00,1,-1.00,1,94.00,-63604535911765
0,s,B,1,8,30,14,1,15.00,2.00,1,-1.00,0,105.00,-63604535914565
0,s,B,1,9,30,14,1,15.00,2.00,1,-1.00,0,123.00,-63604535916152
0,s,B,1,10,30,14,1,9.00,2.00,1,-1.00,0,111.00,-63604535917712
0,s,B,1,11,30,14,1,15.00,2.00,1,-1.00,0,113.00,-63604535918965
0,s,B,1,12,30,14,1,9.00,2.00,1,-1.00,0,115.00,-63604535920459
0,s,B,1,13,30,14,1,15.00,2.00,1,-1.00,0,145.00,-63604535922006
0,s,B,1,14,30,14,1,9.00,2.00,1,-1.00,0,111.00,-63604535924512
0,s,B,1,15,30,14,1,3.00,2.00,1,-1.00,1,83.00,-63604535925739
0,s,B,1,16,30,14,1,15.00,2.00,1,-1.00,1,155.00,-63604535928966
0,s,B,1,17,30,14,1,3.00,2.00,1,-1.00,0,53.00,-63604535932746
0,s,B,1,18,30,14,1,3.00,2.00,1,-1.00,0,66.00,-63604535934125
0,s,B,1,19,30,14,1,3.00,2.00,1,-1.00,0,48.00,-63604535935365
0,s,B,1,20,30,14,1,9.00,2.00,1,-1.00,0,100.00,-63604535936860
0,s,B,1,21,30,14,1,9.00,2.00,1,-1.00,0,97.00,-63604535938245
0,s,B,1,22,30,14,1,3.00,2.00,1,-1.00,0,62.00,-63604535939606
0,s,B,1,23,30,14,1,15.00,2.00,1,-1.00,1,129.00,-63604535940805
0,s,B,1,24,30,14,1,9.00,2.00,1,-1.00,0,97.00,-63604535943205
0,s,B,1,25,30,14,1,3.00,2.00,1,-1.00,0,74.00,-63604535944699
0,s,B,1,26,30,14,1,15.00,2.00,1,-1.00,0,112.00,-63604535945832
0,s,B,1,27,30,14,1,15.00,2.00,1,-1.00,0,108.00,-63604535947419
0,s,B,1,28,30,14,1,9.00,2.00,1,-1.00,0,104.00,-63604535949032
0,s,B,1,29,30,14,1,3.00,2.00,1,-1.00,0,79.00,-63604535950379
