Subject #,Experiment,Group,Condition,Trial,DZ Radius,Sensitivity,Curve Shape,Target Distance,Target Diameter,Click Hit,Click Distance,Overshot,Most Further Hand Position,Click Time
0,s,C,2,0,30,21,1,3.00,1.00,1,-1.00,1,40.00,-63604536254180
0,s,C,2,1,30,21,1,9.00,1.00,1,-1.00,1,65.00,-63604536257273
0,s,C,2,2,30,21,1,15.00,1.00,1,-1.00,0,69.00,-63604536261393
0,s,C,2,3,30,21,1,3.00,1.00,1,-1.00,0,60.00,-63604536265273
0,s,C,2,4,30,21,1,9.00,1.00,1,-1.00,1,64.00,-63604536266473
0,s,C,2,5,30,21,1,15.00,1.00,1,-1.00,1,71.00,-63604536270793
0,s,C,2,6,30,21,1,3.00,1.00,1,-1.00,0,50.00,-63604536274020
0,s,C,2,7,30,21,1,9.00,1.00,1,-1.00,1,78.00,-63604536275580
0,s,C,2,8,30,21,1,15.00,1.00,1,-1.00,0,73.00,-63604536282686
0,s,C,2,9,30,21,1,15.00,1.00,1,-1.00,0,81.00,-63604536285220
0,s,C,2,10,30,21,1,9.00,1.00,1,-1.00,0,80.00,-63604536288233
0,s,C,2,11,30,21,1,15.00,1.00,1,-1.00,1,78.00,-63604536289673
0,s,C,2,12,30,21,1,9.00,1.00,1,-1.00,1,79.00,-63604536293059
0,s,C,2,13,30,21,1,15.00,1.00,1,-1.00,0,74.00,-63604536295046
0,s,C,2,14,30,21,1,9.00,1.00,1,-1.00,1,95.00,-63604536297233
0,s,C,2,15,30,21,1,3.00,1.00,1,-1.00,1,74.00,-63604536302606
0,s,C,2,16,30,21,1,15.00,1.00,1,-1.00,1,91.00,-63604536306139
0,s,C,2,17,30,21,1,3.00,1.00,1,-1.00,0,55.00,-63604536309713
0,s,C,2,18,30,21,1,3.00,1.00,1,-1.00,1,67.00,-63604536310887
0,s,C,2,19,30,21,1,3.00,1.00,1,-1.00,0,55.00,-63604536314379
0,s,C,2,20,30,21,1,9.00,1.00,1,-1.00,0,70.00,-63604536315553
0,s,C,2,21,30,21,1,9.00,1.00,1,-1.00,0,72.00,-63604536317700
0,s,C,2,22,30,21,1,3.00,1.00,1,-1.00,0,45.00,-63604536319153
0,s,C,2,23,30,21,1,15.00,1.00,1,-1.00,0,72.00,-63604536320593
0,s,C,2,24,30,21,1,9.00,1.00,1,-1.00,0,66.00,-63604536322873
0,s,C,2,25,30,21,1,3.00,1.00,1,-1.00,0,45.00,-63604536324340
0,s,C,2,26,30,21,1,15.00,1.00,1,-1.00,0,106.00,-63604536325993
0,s,C,2,27,30,21,1,15.00,1.00,1,-1.00,0,108.00,-63604536328073
0,s,C,2,28,30,21,1,9.00,1.00,1,-1.00,0,77.00,-63604536329553
0,s,C,2,29,30,21,1,3.00,1.00,1,-1.00,0,53.00,-63604536331873
